いちばんやさしいEC担当者の教本 人気講師が教える新任1年目に身につけたい実務と知識	2,200円（本体 2,000円＋税10%）	2022/9/15	中島 郁　著/南茂 理恵　著
【Amazon.co.jp限定】目標を楽しくおしゃれに叶えるオトナの勉強手帳 Study＋Diary2023	1,540円（本体 1,400円＋税10%）	2022/9/15	インプレス手帳編集部　編
ふわころことり Schedule Book 2023	1,430円（本体 1,300円＋税10%）	2022/9/15	インプレス手帳編集部　編
にゃんこのぷにぷに肉球手帳 2023	1,430円（本体 1,300円＋税10%）	2022/9/15	フェリシモ猫部　監修
山野りんりん 猫まみれ手帳 2023	1,430円（本体 1,300円＋税10%）	2022/9/15	フェリシモ猫部　監修
季節とともに機嫌よく過ごす暮らし手帳 2023	1,870円（本体 1,700円＋税10%）	2022/9/15	インプレス手帳編集部　編
目標を楽しくおしゃれに叶えるオトナの勉強手帳 Study＋Diary2023	1,540円（本体 1,400円＋税10%）	2022/9/15	インプレス手帳編集部　編
推しとの思い出を楽しくキロクする 推し活ライフ手帳2023	1,518円（本体 1,380円＋税10%）	2022/9/15	インプレス手帳編集部　編
できるポケット Word & Excel 2021 基本＆活用マスターブック Office 2021&Microsoft 365両対応	1,408円（本体 1,280円＋税10%）	2022/9/13	田中　亘　著/羽毛田睦土　著/できるシリーズ編集部　著
1週間で解き方がわかる数的推理 いちばんやさしい公務員試験テキスト＆問題集	1,760円（本体 1,600円＋税10%）	2022/9/13	西川 マキ　著
1週間で解き方がわかる判断推理 いちばんやさしい公務員試験テキスト＆問題集	1,760円（本体 1,600円＋税10%）	2022/9/13	西川 マキ　著
はたらくiPad いつもの仕事のこんな場面で	1,650円（本体 1,500円＋税10%）	2022/9/13	五藤 晴菜　著
できるポケット Excel 2021 基本＆活用マスターブック Office 2021＆Microsoft 365両対応	858円（本体 780円＋税10%）	2022/9/6	羽毛田睦土　著/できるシリーズ編集部　著
できるポケット Word 2021 基本＆活用マスターブック Office 2021＆Microsoft 365両対応	858円（本体 780円＋税10%）	2022/9/6	田中亘　著/できるシリーズ編集部　著
できるポケット PowerPoint 2021 基本&活用マスターブック Office 2021&Microsoft 365両対応	968円（本体 880円＋税10%）	2022/9/6	井上 香緒里　著/できるシリーズ編集部　著
ふわふわCats Diary 2023	880円（本体 800円＋税10%）	2022/9/6	石橋 絵　写真
ころころしばいぬDiary 2023	880円（本体 800円＋税10%）	2022/9/6	小川晃代　写真/湯沢祐介　写真
お金がどんどん貯まる手帳2023	1,100円（本体 1,000円＋税10%）	2022/9/6	インプレス手帳編集部　編
予定がパパッと見やすいママの手帳 FAMILY DIARY 2023	1,320円（本体 1,200円＋税10%）	2022/9/6	インプレス手帳編集部　編
試験にココが出る！ 2級ボイラー技士 教科書＋実践問題	2,200円（本体 2,000円＋税10%）	2022/9/6	株式会社ノマド・ワークス　著
できるポケットExcel困った！＆便利技323 Office 2021/2019/2016&Microsoft 365対応	968円（本体 880円＋税10%）	2022/9/1	きたみあきこ　著/できるシリーズ編集部　著
世界一やさしいスマートフォン 2022～2023 最新版	528円（本体 480円＋税10%）	2022/9/1	TEKIKAKU　著/岡嶋裕史　著
いちばんやさしいGoogleアナリティクス4の教本 人気講師が教える行動計測とユーザー理解の基本	2,178円（本体 1,980円＋税10%）	2022/8/26	山浦直宏　著/高田和資　著/藤田佳浩　著
徹底攻略 ネットワークスペシャリスト教科書 令和5年度	3,058円（本体 2,780円＋税10%）	2022/8/25	株式会社わくわくスタディワールド 瀬戸美月　著
3秒で勝負を決める ビジネスTikTok 新しい時代の動画マーケティング（できるビジネス）	1,760円（本体 1,600円＋税10%）	2022/8/25	堀越大樹　著
スラスラ読める JavaScriptふりがなプログラミング 増補改訂版	2,178円（本体 1,980円＋税10%）	2022/8/23	リブロワークス　著/及川卓也　監修
できるポケット Web制作必携 HTML&CSS全事典 改訂3版	2,068円（本体 1,880円＋税10%）	2022/8/22	加藤善規　著/できるシリーズ編集部　著
誰でもおしゃれにプロっぽく スマホ1台で動画制作はじめます！	2,090円（本体 1,900円＋税10%）	2022/8/18	JEMMA　著
できるポケット 時短の王道 Excel関数全事典 改訂3版 2021/2019/2016/2013 & Microsoft 365対応	1,518円（本体 1,380円＋税10%）	2022/8/18	羽山 博　著/吉川 明広　著/できるシリーズ編集部　著
できるExcel関数 Office 2021/2019/2016&Microsoft 365対応	1,738円（本体 1,580円＋税10%）	2022/8/17	尾崎 裕子　著/できるシリーズ編集部　著
世界一やさしいパワーポイント2021	528円（本体 480円＋税10%）	2022/8/16	トップスタジオ　著
できるExcel パーフェクトブック 困った！＆便利ワザ大全 Office 2021/2019/2016 & Microsoft 365対応	1,628円（本体 1,480円＋税10%）	2022/8/12	きたみあきこ　著/できるシリーズ編集部　著
